id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,DE
500,Folge 500,,,
lk,Lars Klingbeil,SPD,Politik,DE
nr,Norbert Röttgen,CDU,Politik,DE
sn,Sahra Wagenknecht,die Linke,Politik,DE
cs,Constanze Stelzenmüller,,Recht,DE
501,Folge 501,,,
cl,Christian Lindner,FDP,Politik,USA
ks,Karl Schlögel,,Historie,DE
lm,Ljudmyla Melnyk,,Wissenschaft,UK
kd,Kristina Dunz,,Journalismus,DE
el,Eglis Levits,,Politik,LT
502,Folge 502,,,
ab,Annalena Baerbock,B90,Politik,DE
ft,Frans Timmermans,,Politik,NL
am,Andrij Melnyk,,Diplomatie,UK
agl,Alexander Graf Lambsdorff,FDP,Politik,DE
er,Egon Ramms,,Millitär,DE
503,Folge 503,,,
rh,Robert Habeck,B90,Politik,DE
cm,Claudia Major,,Wissenschaft,DE
kp,Katja Petrwoskaja,,Journalismus,UK
rk,Roderich Kiesewetter,CDU,Politik,DE
cdu,CDU,CDU,,
spd,SPD,SPD,,
fdp,FDP,FDP,,
b90,B90,B90,,
dl,die Linke,die Linke,,